refs,pl
change-language,Język
change-country,Kraj
plot-type,Visualization type
intro-html,Podobieństwa w głosowaniach posłów
general-instructions-html,"The colors represent the political parties. Each name corresponds to a member of the parliament. In the top visualization, parliament members that are closer each other in the tree have voted similarly and vice versa. Only members that have registered votes on at least 90% of the votings are included. The bottom visualization shows an overview of how the parties have voted. The votings themselves are restricted to the primary votings on subject matters."
user-vote-instructions-title,"What if you where a member of Parliament?"
user-vote-instructions-html,"To see how similar you would have voted if you were a member of parliament, choose one or more statutes to include below, then register your own votes. Your votes will show up as ”Me” in a party referenced ”ME”. After having cast your own votes on subject matters that are important to you, you should see how you align with other political parties."
show-button-text,Pokaż!
statutes-filter-instruction,Tylko głosowania o ustawach:
progress-message,Twają obliczenia
progress-detail,To może chwilę potrwać...
your-vote,Your vote
votings,Głosowań
footer-html,Aplikacja wykonana w ramach hackatonu <a href='http://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/events/225061731/'>Jak oni głosowali</a> organizowanego przez fundację <a href='http://smarterpoland.pl'>SmarterPoland</a>. <br>Współpraca i konsultacje merytoryczne: <a href='http://mamprawowiedziec.pl/'>Mam Prawo Wiedzieć</a><br>Dane pobrane z pakietu <a href='https://github.com/mi2-warsaw/sejmRP'>sejmRP</a><br><br><br><a href='http://mamprawowiedziec.pl/'><img width='200px' src='https://github.com/mi2-warsaw/JakOniGlosowali/raw/master/wyszukiwarka/shiny/logo-MPW-CMYK-pion.jpg'/></a>&nbsp;&nbsp;<a href='http://smarterpoland.pl'><img width='140px' src='https://github.com/mi2-warsaw/JakOniGlosowali/raw/master/wyszukiwarka/shiny/smarterpoland.png'/></a>.
